genre;songno;tags
"blues"; 2; "rock, blues, jazz, hardrock, "
"blues"; 4; "blues, pop, "
"blues"; 5; "blues, rock, "
"blues"; 6; "blues, rock, ambient, funk, "
"blues"; 10; "blues, ambient, pop, "
"blues"; 14; "latin, world, jazz, blues, "
"blues"; 15; "chanson, popfolk, blues, pop, "
"blues"; 18; "rnb, blues, experimental, jazz, "
"blues"; 20; "jazz, blues, "
"blues"; 21; "rock, blues, hardrock, "
"blues"; 23; "jazz, pop, blues, "
"blues"; 24; "jazz, blues, newage, "
"blues"; 25; "pop, rock, soul, blues, "
"blues"; 28; "jazz, easylistening, blues, "
"blues"; 29; "world, pop, chanson, blues, "
"blues"; 30; "funk, blues, jazz, fusion, "
"blues"; 33; "rock, blues, "
"blues"; 34; "rock, funk, ska, blues, "
"blues"; 36; "rock, blues, easylistening, "
"blues"; 39; "poprock, classicrock, blues, folk, "
"blues"; 43; "rock, blues, alternative, "
"blues"; 46; "rock, blues, garage, "
"blues"; 48; "blues, 80s, rock, newwave, "
"blues"; 51; "funk, soul, blues, disco, "
"blues"; 53; "latin, world, blues, pop, "
"blues"; 54; "rock, folk, blues, "
"blues"; 55; "blues, rock, powerpop, singersongwriter, "
"blues"; 57; "rock, blues, "
"blues"; 59; "blues, jazz, world, "
"blues"; 66; "blues, classical, "
"blues"; 68; "rock, blues, "
"blues"; 71; "rock, jazz, jazzfusion, blues, "
"blues"; 73; "rock, blues, punk, metal, "
"blues"; 75; "jazz, blues, bebop, lounge, "
"blues"; 77; "rock, blues, "
"blues"; 79; "folk, blues, country, "
"blues"; 80; "rock, blues, alternative, "
"blues"; 84; "pop, blues, "
"blues"; 86; "rock, blues, "
"blues"; 87; "jazz, hiphop, blues, "
"blues"; 88; "pop, blues, "
"blues"; 91; "world, jazz, rock, blues, "
"blues"; 92; "jazz, funk, disco, blues, "
"blues"; 93; "experimental, blues, jazz, world, "
"blues"; 95; "country, blues, rocknroll, folk, "
"blues"; 97; "rock, blues, pop, atmospheric, "
"blues"; 98; "jazz, blues, "
"blues"; 99; "blues, electronic, pop, rock, "
"blues"; 101; "jazz, gospel, blues, "
"blues"; 103; "folk, blues, country, "
"blues"; 104; "pop, folk, blues, drumnbass, "
"blues"; 105; "noise, classical, popfolk, blues, "
"blues"; 106; "jazz, electronic, world, blues, "
"blues"; 108; "rock, blues, popfolk, "
"blues"; 111; "blues, funk, pop, world, "
"blues"; 114; "funk, soul, rock, blues, "
"blues"; 116; "pop, gospel, blues, "
"blues"; 117; "rock, blues, alternativerock, "
"blues"; 119; "pop, blues, "
"blues"; 121; "rock, blues, hardrock, latin, "
"blues"; 122; "rock, rocknroll, hardrock, blues, "
"blues"; 124; "rock, heavymetal, blues, "
"blues"; 126; "pop, funk, blues, "
"blues"; 127; "funk, soul, blues, disco, "
"blues"; 129; "rap, hiphop, blues, easylistening, "
"blues"; 131; "rock, blues, "
"blues"; 132; "blues, country, folk, alternative, "
"blues"; 134; "80s, blues, country, "
"blues"; 135; "blues, rock, "
"blues"; 137; "rock, funk, blues, "
"blues"; 144; "country, blues, "
"blues"; 148; "funk, blues, pop, soul, "
"blues"; 155; "rock, blues, soundtrack, "
"blues"; 158; "rock, blues, "
"blues"; 159; "jazz, blues, world, soundtrack, "
"blues"; 161; "rock, blues, indie, "
"blues"; 163; "rock, blues, "
"blues"; 165; "blues, poprock, world, "
"blues"; 168; "pop, 90s, blues, "
"blues"; 169; "rock, blues, "
"blues"; 170; "jazz, hardrock, blues, classicrock, "
"blues"; 172; "funk, soul, blues, disco, "
"blues"; 173; "rock, blues, hardrock, classicrock, "
"blues"; 178; "funk, soul, disco, blues, "
"blues"; 179; "electronic, blues, country, classical, "
"blues"; 181; "blues, atmospheric, classical, "
"blues"; 183; "rock, triphop, blues, "
"blues"; 185; "pop, minimal, blues, "
"blues"; 186; "blues, jazz, "
"blues"; 187; "rock, hardrock, classicrock, blues, "
"blues"; 192; "90s, rock, blues, "
"blues"; 197; "metal, blues, powermetal, "
"blues"; 198; "pop, blues, ambient, "
"blues"; 200; "funk, blues, soul, disco, "
"blues"; 201; "pop, world, blues, "
"blues"; 202; "rock, blues, rocknroll, "
"blues"; 204; "blues, reggae, dancehall, ragga, "
"blues"; 210; "blues, soul, classical, easylistening, "
"blues"; 212; "rock, blues, "
"blues"; 213; "rock, blues, "
"blues"; 215; "rock, metal, rocknroll, blues, "
"blues"; 218; "jazz, funk, soul, blues, "
"blues"; 221; "blues, country, soundtrack, "
"blues"; 222; "rock, blues, "
"blues"; 225; "rock, blues, "
"blues"; 226; "pop, blues, "
"blues"; 227; "pop, rnb, blues, "
"blues"; 228; "rock, blues, "
"blues"; 230; "easylistening, rock, blues, chillout, "
"blues"; 236; "blues, pop, "
"blues"; 242; "world, blues, pop, popfolk, "
"blues"; 243; "60s, blues, classicrock, pop, "
"blues"; 244; "rock, folk, blues, latin, "
"blues"; 245; "blues, rock, "
"blues"; 249; "jazz, folk, blues, "
"blues"; 251; "pop, popfolk, folk, blues, "
"blues"; 252; "hiphop, rap, blues, "
"blues"; 255; "jazz, blues, jazzfusion, progressive, "
"blues"; 258; "rock, rockfrancais, blues, "
"blues"; 260; "pop, jazz, blues, "
"blues"; 261; "latin, rock, funk, blues, "
"blues"; 263; "pop, jazz, blues, indie, "
"blues"; 266; "rock, blues, "
"blues"; 269; "pop, reggae, dance, blues, "
"blues"; 273; "blues, rock, hard, "
"blues"; 274; "funk, blues, soul, disco, "
"blues"; 276; "jazz, blues, soundtrack, "
"blues"; 278; "rock, rocknroll, blues, rocksteady, "
"blues"; 279; "chillout, pop, downtempo, blues, "
"blues"; 281; "jazz, blues, "
"blues"; 285; "rock, blues, "
"blues"; 286; "world, pop, 70s, blues, "
"blues"; 287; "funk, blues, fusion, jazz, "
"blues"; 288; "rock, pop, blues, progressive, "
"blues"; 292; "rock, blues, alternative, pop, "
"blues"; 294; "pop, folk, blues, soul, "
"blues"; 295; "world, blues, poprock, popfolk, "
"blues"; 296; "pop, blues, ambient, world, "
"blues"; 298; "folk, pop, blues, "
"blues"; 299; "jazz, blues, funk, jazzfunk, "
"blues"; 303; "rock, blues, hardrock, "
"blues"; 304; "pop, easylistening, blues, "
"blues"; 307; "pop, blues, atmospheric, alternative, "
"blues"; 308; "rock, blues, psychedelic, "
"blues"; 309; "pop, blues, rock, rockfrancais, "
"blues"; 311; "jazz, blues, "
"blues"; 314; "poprock, rock, blues, classicrock, "
"blues"; 323; "jazz, blues, "
"blues"; 325; "rock, rocknroll, blues, "
"blues"; 326; "rock, blues, classicrock, funk, "
"blues"; 327; "blues, rock, acidjazz, noise, "
"blues"; 328; "country, folk, blues, singersongwriter, "
"blues"; 330; "hiphop, rap, blues, "
"blues"; 331; "rock, rocknroll, blues, "
"blues"; 333; "blues, pop, "
"blues"; 335; "blues, rock, poprock, downtempo, "
"blues"; 336; "folk, singersongwriter, pop, blues, "
"blues"; 339; "rock, blues, industrial, "
"blues"; 343; "rock, rnb, blues, folk, "
"blues"; 345; "rock, pop, blues, country, "
"blues"; 346; "pop, blues, alternative, "
"blues"; 351; "jazz, blues, "
"blues"; 353; "blues, rock, "
"blues"; 357; "world, rock, blues, chillout, "
"blues"; 358; "funk, soul, blues, disco, "
"blues"; 360; "poprock, rock, blues, "
"blues"; 362; "rock, rocknroll, blues, hardrock, "
"blues"; 363; "rock, rocknroll, blues, "
"blues"; 364; "blues, country, indie, pop, "
"blues"; 367; "blues, jazz, chillout, downtempo, "
"blues"; 368; "folk, blues, pop, rock, "
"blues"; 370; "electronic, lounge, jazz, blues, "
"blues"; 371; "pop, blues, "
"blues"; 372; "rock, blues, hardrock, classicrock, "
"blues"; 375; "blues, funk, soul, disco, "
"blues"; 378; "blues, soul, jazz, rnb, "
"blues"; 380; "rock, pop, blues, "
"blues"; 383; "pop, jazz, blues, funk, "
"blues"; 385; "pop, blues, downtempo, "
"blues"; 386; "world, rock, blues, "
"blues"; 387; "folk, blues, poprock, "
"blues"; 388; "blues, hiphop, downtempo, "
"blues"; 389; "reggae, hiphop, blues, soul, "
"blues"; 391; "pop, blues, country, "
"blues"; 392; "rock, alternative, blues, "
"blues"; 393; "jazz, blues, country, "
"blues"; 396; "60s, rock, blues, "
"blues"; 397; "blues, country, folk, rock, "
"blues"; 399; "blues, pop, rock, ska, "
"blues"; 403; "rock, funk, soul, blues, "
"blues"; 408; "blues, ambient, classical, "
"blues"; 410; "rnb, blues, jazz, "
"blues"; 415; "funk, blues, soul, jazz, "
"blues"; 416; "rock, pop, funk, blues, "
"blues"; 417; "rock, pop, blues, poprock, "
"blues"; 419; "funk, soul, blues, jazz, "
"blues"; 421; "rock, blues, alternative, "
"blues"; 422; "pop, blues, "
"blues"; 424; "rock, alternativerock, blues, "
"blues"; 427; "jazz, blues, funk, hardrock, "
"blues"; 428; "rock, pop, blues, "
"blues"; 430; "pop, electronic, blues, downtempo, "
"blues"; 434; "rock, blues, "
"blues"; 437; "rock, blues, "
"blues"; 438; "pop, blues, poprock, "
"blues"; 439; "pop, rock, blues, funk, "
"blues"; 443; "jazz, blues, "
"blues"; 445; "rock, blues, alternativerock, "
"blues"; 447; "rock, blues, poprock, pop, "
"blues"; 448; "country, blues, folk, "
"blues"; 450; "rock, rocknroll, blues, "
"blues"; 451; "rock, blues, poprock, "
"blues"; 454; "rock, blues, "
"blues"; 455; "rock, blues, "
"blues"; 459; "jazz, blues, atmospheric, "
"blues"; 460; "pop, blues, singersongwriter, "
"blues"; 462; "rock, jazz, blues, "
"blues"; 465; "blues, rock, glam, "
"blues"; 468; "rock, blues, "
"blues"; 469; "rock, folk, blues, fusion, "
"blues"; 470; "rock, blues, "
"blues"; 472; "blues, pop, "
"blues"; 475; "blues, funk, soul, disco, "
"blues"; 476; "jazz, blues, soundtrack, indie, "
"blues"; 477; "pop, blues, "
"blues"; 478; "pop, blues, "
"blues"; 479; "rock, blues, punk, grunge, "
"blues"; 482; "rock, blues, "
"blues"; 483; "jazz, blues, classicrock, "
"blues"; 485; "60s, blues, country, "
"blues"; 486; "rock, grunge, blues, "
"blues"; 487; "world, blues, rock, fusion, "
"blues"; 490; "rock, blues, "
"blues"; 491; "jazz, blues, soundtrack, "
"blues"; 494; "jazz, blues, classical, soundtrack, "
"blues"; 499; "pop, blues, "
"blues"; 501; "blues, country, funk, world, "
"blues"; 509; "rock, blues, "
"blues"; 511; "blues, soul, pop, "
"blues"; 513; "rock, pop, blues, "
"blues"; 517; "atmospheric, alternative, country, blues, "
"blues"; 521; "rock, blues, "
"blues"; 524; "rock, blues, "
"blues"; 529; "world, blues, grunge, pop, "
"blues"; 533; "rock, pop, blues, funk, "
"blues"; 534; "rock, folk, pop, blues, "
"blues"; 538; "rock, blues, "
"blues"; 539; "rock, blues, psychedelic, "
"blues"; 540; "jazz, blues, "
"blues"; 542; "pop, blues, easylistening, "
"blues"; 545; "pop, blues, singersongwriter, "
"blues"; 546; "jazz, blues, ambient, "
"blues"; 550; "blues, rap, hiphop, "
"blues"; 551; "hiphop, rap, jazz, blues, "
"blues"; 552; "blues, rock, rocknroll, "
"blues"; 554; "hiphop, blues, souljazz, "
"blues"; 558; "jazz, blues, indie, "
"blues"; 561; "jazz, blues, experimental, "
"blues"; 563; "rock, blues, funk, "
"blues"; 565; "hiphop, jazzfusion, blues, "
"blues"; 570; "pop, rock, blues, "
"blues"; 571; "jazz, lounge, blues, world, "
"blues"; 572; "blues, rock, postrock, "
"blues"; 577; "world, 70s, reggae, blues, "
"blues"; 579; "pop, funk, blues, "
"blues"; 581; "rock, blues, soundtrack, "
"blues"; 582; "techno, electronic, rock, blues, "
"blues"; 584; "jazz, blues, alternative, "
"blues"; 585; "rock, blues, pop, country, "
"blues"; 588; "funk, blues, soul, disco, "
"blues"; 589; "rock, blues, indie, alternative, "
"blues"; 591; "rock, blues, alternative, "
"blues"; 592; "jazz, blues, "
"blues"; 598; "jazz, blues, "
"blues"; 600; "blues, pop, rock, "
"blues"; 602; "world, rock, folk, blues, "
"blues"; 608; "blues, rock, indie, alternative, "
"blues"; 609; "rock, grunge, blues, "
"blues"; 610; "rock, metal, blues, postrock, "
"blues"; 612; "jazz, easylistening, blues, chillout, "
"blues"; 613; "jazz, blues, funk, "
"blues"; 614; "rock, blues, "
"blues"; 617; "jazz, blues, "
"blues"; 618; "funk, pop, soul, blues, "
"blues"; 619; "jazz, blues, world, "
"blues"; 623; "blues, funk, rock, latin, "
"blues"; 625; "rock, blues, indie, poprock, "
"blues"; 627; "blues, jazz, avantgarde, experimental, "
"blues"; 629; "pop, blues, indie, "
"blues"; 631; "funk, soul, blues, disco, "
"blues"; 632; "blues, rock, indie, rocknroll, "
"blues"; 633; "pop, blues, popfolk, "
"blues"; 639; "country, blues, "
"blues"; 642; "rock, blues, "
"blues"; 644; "rap, hiphop, world, blues, "
"blues"; 645; "jazz, funk, soul, blues, "
"blues"; 649; "rock, blues, alternative, "
"blues"; 651; "jazz, chillout, groove, blues, "
"blues"; 653; "rock, blues, poprock, classicrock, "
"blues"; 654; "60s, rock, blues, "
"blues"; 655; "rock, funk, blues, "
"blues"; 656; "country, folk, blues, singersongwriter, "
"blues"; 657; "rock, blues, "
"blues"; 659; "rock, blues, "
"blues"; 664; "blues, rock, country, "
"blues"; 665; "rock, blues, "
"blues"; 670; "country, blues, folk, "
"blues"; 671; "jazz, blues, chanson, "
"blues"; 673; "rock, 80s, blues, hardrock, "
"blues"; 674; "blues, rock, folk, "
"blues"; 677; "rock, pop, blues, classical, "
"blues"; 680; "rock, rhythmandblues, blues, "
"blues"; 682; "pop, blues, "
"blues"; 683; "funk, soul, rock, blues, "
"blues"; 688; "blues, acidjazz, country, jazz, "
"blues"; 692; "folk, blues, poprock, "
"blues"; 693; "blues, indie, classical, "
"blues"; 697; "folk, pop, country, blues, "
"blues"; 699; "blues, rocknroll, rock, "
"blues"; 700; "rock, blues, progressive, hardrock, "
"blues"; 701; "funk, rock, blues, soul, "
"blues"; 702; "rhythmandblues, blues, country, "
"blues"; 704; "rock, blues, classicrock, pop, "
"blues"; 705; "blues, jazz, "
"blues"; 706; "pop, world, oriental, blues, "
"blues"; 713; "rock, blues, psychedelic, "
"blues"; 714; "rock, poprock, blues, lounge, "
"blues"; 717; "pop, blues, "
"blues"; 721; "jazz, pop, blues, "
"blues"; 722; "rock, blues, "
"blues"; 726; "rock, blues, "
"blues"; 727; "jazz, bebop, blues, "
"blues"; 730; "rock, blues, "
"blues"; 731; "newage, blues, symphonic, classical, "
"blues"; 733; "pop, blues, soul, folk, "
"blues"; 736; "jazz, blues, "
"blues"; 737; "funk, blues, soul, jazz, "
"blues"; 741; "rock, folk, blues, "
"blues"; 747; "rock, 80s, blues, progressive, "
"blues"; 749; "funk, blues, soul, disco, "
"blues"; 753; "pop, blues, "
"blues"; 754; "jazz, pop, blues, "
"blues"; 755; "jazz, blues, "
"blues"; 756; "pop, blues, "
"blues"; 758; "rock, blues, "
"blues"; 761; "funk, blues, soul, disco, "
"blues"; 766; "jazz, blues, easylistening, lounge, "
"blues"; 768; "funk, soul, blues, disco, "
"blues"; 773; "rock, blues, "
"blues"; 774; "rock, blues, poprock, "
"blues"; 778; "rock, metal, blues, hardrock, "
"blues"; 781; "rock, blues, "
"blues"; 782; "jazz, funk, soul, blues, "
"blues"; 783; "blues, singersongwriter, country, "
"blues"; 786; "rock, poprock, blues, "
"blues"; 788; "rock, alternative, alternativerock, blues, "
"blues"; 789; "rock, improvisation, blues, "
"blues"; 793; "folk, jazz, blues, easylistening, "
"blues"; 794; "hiphop, rap, blues, "
"blues"; 796; "blues, rock, pop, funk, "
"blues"; 797; "rock, blues, indie, "
"blues"; 801; "progressive, blues, rock, "
"blues"; 803; "rock, blues, singersongwriter, "
"blues"; 804; "funk, jazz, blues, soul, "
"blues"; 807; "rock, blues, "
"blues"; 810; "jazz, blues, swing, "
"blues"; 811; "rock, blues, "
"blues"; 812; "rock, blues, singersongwriter, "
"blues"; 816; "jazz, blues, electronic, "
"blues"; 817; "jazz, world, blues, "
"blues"; 818; "jazz, blues, easylistening, fusion, "
"blues"; 819; "rock, blues, poprock, "
"blues"; 823; "blues, folk, singersongwriter, country, "
"blues"; 824; "downtempo, jazz, funk, blues, "
"blues"; 825; "reggae, world, blues, folk, "
"blues"; 828; "funk, jazz, blues, souljazz, "
"blues"; 830; "rock, rocknroll, blues, "
"blues"; 833; "rock, blues, "
"blues"; 834; "blues, jazz, jazzfusion, progressive, "
"blues"; 835; "folk, country, blues, world, "
"blues"; 836; "blues, rock, "
"blues"; 840; "70s, rock, blues, "
"blues"; 844; "rock, rockfrancais, blues, "
"blues"; 845; "world, funk, blues, pop, "
"blues"; 847; "rock, funk, blues, soul, "
"blues"; 851; "gospel, rock, blues, choir, "
"blues"; 853; "rock, funk, pop, blues, "
"blues"; 854; "blues, poprock, popfolk, "
"blues"; 855; "rock, blues, "
"blues"; 856; "rock, pop, blues, poprock, "
"blues"; 857; "rock, rocknroll, blues, soundtrack, "
"blues"; 858; "rock, blues, "
"blues"; 859; "rock, blues, soul, "
"blues"; 860; "rock, blues, latin, "
"blues"; 862; "pop, blues, "
"blues"; 866; "jazz, chanson, alternative, blues, "
"blues"; 867; "pop, poprock, blues, "
"blues"; 868; "reggae, rap, blues, "
"blues"; 872; "world, rock, blues, "
"blues"; 875; "funk, rock, blues, soul, "
"blues"; 876; "rock, blues, pop, indie, "
"blues"; 878; "pop, blues, "
"blues"; 879; "rock, blues, world, "
"blues"; 880; "easylistening, pop, rock, blues, "
"blues"; 882; "pop, blues, chanson, singersongwriter, "
"blues"; 883; "progressive, blues, rock, "
"blues"; 885; "pop, jazz, blues, "
"blues"; 889; "rock, blues, alternative, "
"blues"; 893; "indie, lofi, rock, blues, "
"blues"; 895; "rock, blues, "
"blues"; 897; "electronic, metal, blues, "
"blues"; 902; "jazz, blues, "
"blues"; 905; "blues, pop, "
"blues"; 910; "downtempo, jazz, chillout, blues, "
"blues"; 913; "jazz, blues, ambient, "
"blues"; 914; "jazz, rock, jazzfusion, blues, "
"blues"; 916; "blues, country, "
"blues"; 921; "jazz, bebop, blues, "
"blues"; 922; "rock, rocknroll, blues, indie, "
"blues"; 924; "jazz, blues, jazzfunk, experimental, "
"blues"; 927; "newage, rock, blues, "
"blues"; 928; "rock, blues, "
"blues"; 930; "blues, rock, progressive, hardrock, "
"blues"; 932; "rock, blues, popfolk, "
"blues"; 933; "pop, jazz, blues, swing, "
"blues"; 935; "jazz, acidjazz, blues, "
"blues"; 936; "electronic, rock, blues, lofi, "
"blues"; 940; "rock, blues, alternative, "
"blues"; 943; "jazz, blues, improvisation, world, "
"blues"; 944; "pop, blues, "
"blues"; 950; "rock, blues, "
"blues"; 953; "blues, rock, metal, "
"blues"; 954; "blues, rock, "
"blues"; 958; "jazz, blues, easylistening, soundtrack, "
"blues"; 963; "jazz, blues, alternative, progressive, "
"blues"; 964; "rock, blues, "
"blues"; 967; "country, blues, southernrock, "
"blues"; 968; "jazz, blues, "
"blues"; 969; "rock, blues, "
"blues"; 971; "jazz, blues, "
"blues"; 978; "blues, reggae, "
"blues"; 981; "funk, soul, blues, disco, "
"blues"; 982; "rock, blues, "
"blues"; 983; "blues, folk, country, "
"blues"; 984; "pop, blues, hardrock, classicrock, "
"blues"; 985; "rock, blues, "
"blues"; 986; "rock, blues, hardrock, "
"blues"; 989; "rock, alternative, blues, soul, "
"blues"; 990; "pop, blues, "
"blues"; 991; "soul, funk, pop, blues, "
"blues"; 993; "rock, blues, hardrock, "
"blues"; 996; "rock, blues, "
"blues"; 997; "blues, classical, "
"blues"; 999; "blues, rock, improvisation, "
"blues"; 1000; "jazz, indie, alternative, blues, "
"blues"; 1001; "jazz, blues, funk, "
"blues"; 1002; "rock, blues, poprock, "
"blues"; 1004; "rock, blues, "
"blues"; 1012; "pop, gospel, blues, "
"blues"; 1016; "rock, blues, easylistening, poprock, "
"blues"; 1017; "jazz, soundtrack, blues, "
"blues"; 1022; "blues, rock, "
"blues"; 1030; "pop, blues, lofi, garage, "
"blues"; 1031; "rock, blues, "
"blues"; 1034; "rock, blues, progressiverock, "
"blues"; 1037; "pop, rock, blues, poprock, "
"blues"; 1038; "jazz, blues, soundtrack, "
"blues"; 1040; "blues, pop, folk, "
"blues"; 1041; "rock, experimental, pop, blues, "
"blues"; 1043; "rap, hiphop, blues, electronic, "
"blues"; 1045; "funk, blues, jazz, soul, "
"blues"; 1046; "pop, rock, blues, soul, "
"blues"; 1052; "easylistening, pop, newage, blues, "
"blues"; 1054; "rock, blues, "
"blues"; 1055; "rock, latin, world, blues, "
"blues"; 1057; "rock, pop, blues, "
"blues"; 1059; "pop, blues, "
"blues"; 1061; "rap, hiphop, blues, soundtrack, "
"blues"; 1064; "jazz, funk, blues, soul, "
"blues"; 1066; "rock, pop, blues, "
"blues"; 1067; "funk, rock, blues, soul, "
"blues"; 1068; "blues, jazz, "
"blues"; 1070; "rock, blues, "
"blues"; 1071; "blues, pop, "
"blues"; 1074; "rock, jazz, blues, improvisation, "
"blues"; 1075; "rock, hardrock, classicrock, blues, "
"blues"; 1076; "rock, blues, noise, indie, "
"blues"; 1077; "classical, blues, soundtrack, "
"blues"; 1078; "jazz, hiphop, blues, electronic, "
"blues"; 1085; "70s, rock, blues, "
"blues"; 1086; "pop, rock, blues, "
"blues"; 1087; "jazz, rock, blues, "
"blues"; 1091; "rock, blues, ambient, chillout, "
"blues"; 1095; "rock, blues, hardrock, "
"blues"; 1099; "blues, rock, "
"blues"; 1100; "world, pop, jazz, blues, "
"blues"; 1101; "pop, blues, soul, "
"blues"; 1102; "pop, rock, blues, "
"blues"; 1108; "rock, blues, singersongwriter, "
