genre;songno;tags
"blues"; 1; "electronic,house,rnb,blues,"
"blues"; 4; "blues,"
"blues"; 5; "latin,blues,world,folk,"
"blues"; 6; "rhythmandblues,blues,experimental,"
"blues"; 9; "70s,blues,hardrock,"
"blues"; 11; "blues,"
"blues"; 15; "60s,blues,singersongwriter,manouche,"
"blues"; 16; "blues,world,"
"blues"; 18; "blues,"
"blues"; 19; "blues,"
"blues"; 23; "blues,"
"blues"; 24; "rhythmandblues,blues,"
"blues"; 34; "rnb,blues,progressive,world,"
"blues"; 35; "blues,"
"blues"; 40; "blues,"
"blues"; 41; "folk,blues,singersongwriter,world,"
"blues"; 43; "blues,"
"blues"; 44; "blues,"
"blues"; 46; "blues,downtempo,experimental,"
"blues"; 47; "electronic,lounge,ambient,blues,"
"blues"; 48; "80s,blues,easylistening,"
"blues"; 50; "world,tango,blues,bossanova,"
"blues"; 53; "chillout,downtempo,blues,fusion,"
"blues"; 55; "blues,"
"blues"; 56; "blues,"
"blues"; 59; "blues,alternative,singersongwriter,"
"blues"; 61; "folk,blues,"
"blues"; 63; "blues,"
"blues"; 65; "latin,world,folk,blues,"
"blues"; 66; "blues,"
"blues"; 69; "blues,ambient,downtempo,"
"blues"; 71; "blues,easylistening,"
"blues"; 73; "blues,"
"blues"; 75; "latin,world,blues,"
"blues"; 76; "blues,funk,chillout,soul,"
"blues"; 78; "blues,"
"blues"; 80; "world,electronic,avantgarde,blues,"
"blues"; 81; "blues,easylistening,"
"blues"; 82; "blues,electronic,"
"blues"; 83; "blues,"
"blues"; 85; "blues,world,"
"blues"; 87; "blues,"
"blues"; 89; "blues,"
"blues"; 92; "blues,"
"blues"; 96; "blues,"
"blues"; 97; "blues,"
"blues"; 101; "blues,"
"blues"; 103; "blues,world,"
"blues"; 104; "blues,"
"blues"; 105; "blues,"
"blues"; 106; "folk,blues,"
"blues"; 113; "folk,blues,"
"blues"; 114; "blues,fusion,flamenco,world,"
"blues"; 115; "downtempo,blues,atmospheric,alternative,"
"blues"; 116; "blues,funk,"
"blues"; 121; "popfolk,blues,world,"
"blues"; 122; "blues,"
"blues"; 125; "world,blues,"
"blues"; 128; "alternative,singersongwriter,popfolk,blues,"
"blues"; 129; "blues,"
"blues"; 130; "blues,"
"blues"; 132; "blues,funk,"
"blues"; 134; "blues,"
"blues"; 138; "funk,latin,blues,soul,"
"blues"; 140; "blues,world,"
"blues"; 142; "blues,"
"blues"; 143; "blues,"
"blues"; 144; "blues,alternative,swing,"
"blues"; 145; "blues,"
"blues"; 146; "blues,"
"blues"; 147; "funk,blues,"
"blues"; 149; "blues,"
"blues"; 154; "triphop,blues,"
"blues"; 156; "blues,world,"
"blues"; 157; "folk,blues,"
"blues"; 158; "blues,"
"blues"; 160; "blues,"
"blues"; 161; "blues,"
"blues"; 162; "blues,"
"blues"; 163; "latin,blues,world,"
"blues"; 165; "latin,blues,world,"
"blues"; 166; "blues,"
"blues"; 167; "blues,"
"blues"; 168; "electronic,dance,blues,indie,"
"blues"; 169; "blues,"
"blues"; 171; "blues,"
"blues"; 174; "blues,rnb,"
"blues"; 175; "blues,experimental,"
"blues"; 176; "dance,electronic,eurodance,blues,"
"blues"; 177; "blues,"
"blues"; 181; "blues,"
"blues"; 183; "blues,soundtrack,"
"blues"; 185; "blues,"
"blues"; 186; "blues,experimental,"
"blues"; 190; "blues,"
"blues"; 191; "blues,experimental,lofi,indie,"
"blues"; 192; "folk,blues,"
"blues"; 193; "blues,"
"blues"; 194; "folk,blues,singersongwriter,"
"blues"; 197; "blues,folk,world,"
"blues"; 200; "world,funk,blues,soul,"
"blues"; 202; "funk,electronic,soul,blues,"
"blues"; 203; "blues,"
"blues"; 204; "world,blues,"
"blues"; 206; "blues,"
"blues"; 207; "blues,"
"blues"; 208; "dance,blues,"
"blues"; 210; "blues,"
"blues"; 211; "world,blues,"
"blues"; 213; "blues,"
"blues"; 214; "world,blues,"
"blues"; 215; "blues,chansonfrancaise,world,"
